Customer_Age,Annual_Income,Website_Visits,Avg_Session_Minutes,Pages_Viewed,Cart_Value,Discount_Percent,Membership_Level,Device_Type,Purchased
24,76151.81,29,16.75,38,105.49,20,Basic,Mobile,1
50,53625.41,3,13.42,7,102.95,15,Basic,Mobile,0
40,34359.86,8,5.15,19,8.4,5,Gold,Desktop,0
33,33051.56,22,10.39,44,67.02,20,Basic,Desktop,0
28,69314.7,18,7.37,35,163.75,5,Silver,Mobile,0
45,104477.28,2,7.86,5,76.42,5,Basic,Mobile,0
50,68999.79,3,9.74,6,201.17,20,Gold,Tablet,0
63,62034.04,16,11.48,24,193.32,20,Gold,Mobile,1
38,72145.65,19,7.64,27,65.99,25,Basic,Mobile,1
25,97650.04,6,13.26,7,111.2,10,Silver,Mobile,0
57,70484.56,6,4.43,12,257.89,0,Basic,Desktop,0
48,54726.82,4,9.03,12,28.73,30,Silver,Desktop,0
51,92657.22,17,19.39,17,77.72,5,Silver,Desktop,1
22,75718.91,1,9.89,2,25.95,5,Gold,Tablet,0
32,103393.9,18,14.73,42,50.61,10,Basic,Mobile,1
54,69580.86,15,9.37,34,306.29,15,Basic,Mobile,1
57,34388.27,14,11.32,24,77.7,25,Silver,Mobile,1
38,30796.02,21,8.77,37,15.67,20,Silver,Mobile,0
56,106273.2,16,8.32,44,44.46,20,Silver,Mobile,1
58,108091.64,22,5.88,50,23.26,5,Basic,Mobile,1
36,60512.02,23,10.72,49,114.25,10,Basic,Mobile,1
61,55420.32,28,5.59,64,137.34,15,Gold,Desktop,0
31,101536.11,24,11.66,50,181.21,5,Basic,Mobile,1
29,37323.86,16,13.34,22,157.94,10,Basic,Mobile,0
50,42631.82,15,10.47,34,30.08,10,Gold,Desktop,1
48,81083.17,8,7.86,9,132.64,5,Basic,Desktop,1
24,55134.87,18,10.82,27,92.43,15,Silver,Desktop,0
57,64871.95,5,7.77,8,198.51,20,Basic,Desktop,0
27,60913.93,28,12.74,46,169.98,0,Gold,Desktop,1
56,73439.36,26,1.67,41,331.68,15,Silver,Mobile,1
18,100187.05,4,7.66,5,47.6,25,Gold,Mobile,0
56,67264.62,24,1.04,62,41.91,20,Basic,Desktop,0
55,81098.47,4,3.02,6,70.29,25,Silver,Mobile,0
55,18000.0,22,14.46,26,95.16,15,Silver,Mobile,0
49,63782.04,3,12.58,4,59.88,25,Basic,Mobile,0
40,43919.24,15,6.12,13,49.74,5,Basic,Mobile,1
51,34529.67,20,2.99,36,126.68,10,Basic,Mobile,1
31,43046.19,22,1.0,34,70.13,5,Gold,Mobile,0
55,56646.91,13,6.83,22,57.84,15,Silver,Desktop,1
44,87897.56,28,18.68,28,30.03,10,Silver,Tablet,1
40,31840.18,24,10.74,26,9.42,5,Silver,Mobile,1
42,65765.79,7,6.76,20,237.88,20,Silver,Tablet,0
45,52895.76,21,10.86,19,233.39,10,Basic,Mobile,1
19,56808.17,22,2.76,55,173.41,10,Basic,Tablet,0
24,90068.95,11,7.81,15,147.29,5,Silver,Tablet,1
29,78452.89,23,9.4,28,65.15,15,Basic,Mobile,1
23,98434.95,27,8.66,43,151.36,10,Gold,Desktop,1
39,61137.36,25,12.16,36,39.3,10,Gold,Tablet,0
50,47601.43,23,10.38,18,109.31,5,Basic,Tablet,0
49,59403.53,20,11.67,24,53.89,20,Silver,Tablet,0
40,71062.42,9,6.25,26,151.78,30,Basic,Mobile,0
59,69414.33,24,12.59,20,269.01,15,Gold,Mobile,1
45,37890.3,11,15.52,25,44.31,20,Gold,Desktop,0
21,67262.24,16,5.12,34,67.71,25,Gold,Desktop,0
54,70705.71,10,5.45,22,107.86,30,Basic,Desktop,1
45,127936.85,10,14.34,20,17.93,20,Basic,Mobile,1
48,111921.12,5,8.23,19,24.42,25,Basic,Mobile,0
45,43668.92,29,14.62,60,264.03,30,Basic,Mobile,1
44,57815.42,5,7.23,8,127.07,25,Basic,Desktop,0
22,28413.95,3,14.82,4,62.31,15,Basic,Mobile,0
44,50232.32,29,9.53,39,99.8,0,Gold,Desktop,1
56,72890.13,17,10.03,28,70.53,0,Basic,Desktop,0
32,95146.34,14,15.26,30,110.16,15,Basic,Mobile,1
46,46772.9,23,7.55,38,72.6,15,Gold,Mobile,1
19,48646.34,12,5.24,19,94.23,10,Silver,Mobile,0
34,18000.0,4,7.21,14,160.89,15,Silver,Tablet,1
38,60933.35,22,10.81,21,154.04,15,Silver,Desktop,0
65,38439.64,6,2.74,13,254.63,25,Gold,Mobile,1
28,51764.01,17,11.55,37,133.33,0,Silver,Mobile,0
31,43078.48,29,6.84,35,104.43,5,Silver,Mobile,0
37,62643.44,29,13.59,33,278.86,25,Silver,Mobile,1
65,21056.79,11,1.0,21,87.14,25,Basic,Tablet,0
58,28323.87,24,5.85,61,10.69,30,Basic,Desktop,1
19,118231.18,19,2.25,21,174.83,25,Basic,Mobile,0
29,32814.44,15,5.7,15,122.66,25,Basic,Desktop,0
57,37580.36,5,9.99,7,100.93,10,Silver,Mobile,1
20,110922.84,12,8.28,19,177.89,10,Basic,Desktop,1
59,137626.68,20,7.99,44,73.08,10,Basic,Mobile,1
31,35710.83,30,8.36,40,11.39,15,Basic,Desktop,1
62,55793.78,1,9.81,8,180.21,30,Gold,Tablet,0
32,73538.89,22,4.97,45,60.55,10,Basic,Mobile,1
38,108217.44,26,11.83,66,45.87,15,Silver,Desktop,1
49,40328.57,29,11.65,28,12.19,10,Gold,Tablet,1
24,58868.05,13,10.54,31,170.37,5,Basic,Mobile,0
44,84433.44,4,11.23,12,6.32,5,Silver,Mobile,1
42,75869.15,9,10.19,2,225.97,0,Basic,Desktop,0
55,55596.1,26,17.14,59,78.7,30,Basic,Mobile,1
65,61654.43,27,8.65,49,175.77,10,Silver,Mobile,1
49,30627.6,20,7.77,21,136.11,25,Gold,Mobile,1
37,59045.66,4,5.99,14,311.69,20,Basic,Desktop,0
37,58340.31,4,4.87,11,133.6,5,Silver,Mobile,1
38,70804.25,15,4.02,26,220.61,5,Basic,Mobile,0
57,51116.82,18,5.44,45,66.03,25,Silver,Desktop,1
33,76788.46,1,8.72,10,24.31,10,Silver,Mobile,1
26,90317.9,21,10.34,47,193.88,30,Silver,Desktop,1
34,68885.73,17,9.2,35,23.57,5,Silver,Mobile,1
19,73793.91,1,5.94,5,169.13,20,Basic,Tablet,0
23,66328.88,3,12.6,10,41.23,25,Silver,Desktop,0
22,65002.11,14,11.96,26,124.33,5,Silver,Mobile,1
55,46961.05,22,8.36,37,315.37,10,Silver,Desktop,1
52,72912.36,25,6.39,32,160.46,30,Basic,Mobile,0
51,62567.84,13,11.19,15,87.42,10,Basic,Mobile,1
40,117329.21,9,9.75,11,138.29,10,Basic,Mobile,1
52,104333.87,30,3.21,39,67.96,15,Basic,Desktop,1
25,74646.16,14,8.73,14,392.43,10,Basic,Mobile,1
61,45923.57,10,10.05,11,56.89,20,Basic,Mobile,1
42,37189.71,14,5.4,35,94.68,20,Silver,Mobile,0
63,94778.57,1,9.76,5,150.98,10,Basic,Mobile,0
25,71568.73,10,3.18,22,131.51,25,Gold,Mobile,1
41,77003.59,16,14.34,24,141.83,5,Silver,Mobile,0
51,21385.35,28,13.99,69,69.08,0,Silver,Mobile,1
41,88185.96,23,7.99,47,84.74,15,Basic,Mobile,0
39,76360.51,24,10.45,23,188.06,30,Silver,Desktop,1
25,37239.23,17,1.0,17,182.02,0,Silver,Mobile,1
36,53211.88,4,4.37,15,133.68,5,Gold,Desktop,1
29,71592.93,12,7.82,14,238.37,15,Silver,Mobile,1
32,66311.67,30,4.71,47,192.97,25,Silver,Mobile,1
50,57695.72,2,11.86,10,178.42,0,Silver,Mobile,1
48,62412.79,27,16.99,27,23.12,10,Silver,Mobile,0
47,58700.57,21,4.29,14,132.57,20,Basic,Mobile,0
35,68814.06,9,5.65,26,116.57,10,Silver,Desktop,1
64,101787.3,24,9.94,49,257.98,5,Silver,Mobile,1
22,18000.0,26,15.44,31,90.78,5,Gold,Mobile,0
34,59078.74,2,4.11,10,109.91,10,Silver,Desktop,0
23,69412.81,4,10.0,7,40.75,15,Basic,Mobile,1
34,72399.85,20,16.29,39,48.08,25,Gold,Mobile,1
64,55702.14,30,2.39,58,258.51,20,Basic,Mobile,1
