Customer_Age,Annual_Income,Website_Visits_Per_Month,Average_Session_Minutes,Previous_Purchases,Discount_Used_Percent,Days_Since_Last_Purchase,Device_Type,Membership_Level,Preferred_Category,Region,Purchase_Amount,High_Value_Customer
36,39592.01,8,24.93,10,23,21.3,Mobile,Silver,Sports,East,587.97,Yes
29,78642.2,14,15.39,5,34,32.3,Mobile,Silver,Fashion,East,345.22,No
32,47108.03,17,16.43,7,2,29.9,Desktop,Silver,Sports,West,502.72,No
50,80443.34,12,8.61,6,32,17.5,Mobile,Gold,Home,West,412.99,No
48,67116.09,20,7.57,7,11,7.7,Desktop,Silver,Beauty,North,377.66,No
47,29720.07,16,21.91,8,14,24.7,Desktop,Gold,Fashion,North,587.22,Yes
35,90422.53,12,9.38,10,1,37.4,Tablet,Basic,Home,West,415.8,No
64,56689.98,14,8.78,6,39,38.6,Mobile,Platinum,Home,North,400.42,Yes
22,58254.19,11,13.8,4,26,20.3,Desktop,Basic,Sports,East,302.56,No
34,46465.45,8,13.55,10,40,73.6,Desktop,Basic,Sports,West,387.37,No
23,55605.77,14,9.49,5,23,14.2,Mobile,Gold,Fashion,East,284.42,No
34,79413.59,12,12.48,11,6,63.2,Tablet,Basic,Sports,North,471.11,Yes
64,65836.62,19,20.15,6,13,36.6,Mobile,Basic,Sports,North,367.05,No
35,77230.56,11,9.97,5,18,24.8,Desktop,Basic,Home,East,269.42,No
61,77962.28,14,7.03,9,6,46.4,Desktop,Silver,Electronics,West,423.86,No
41,99054.56,15,18.71,8,38,28.7,Mobile,Platinum,Electronics,South,715.9,Yes
51,62458.7,11,16.46,8,39,10.3,Mobile,Gold,Electronics,East,545.33,Yes
39,37509.13,12,10.9,5,23,13.4,Tablet,Silver,Electronics,West,407.62,No
30,93478.89,9,6.09,4,23,27.4,Mobile,Platinum,Sports,West,463.74,Yes
54,62707.26,12,10.28,7,28,22.5,Mobile,Silver,Electronics,East,400.51,No
64,94521.03,14,13.73,3,27,62.3,Mobile,Gold,Home,East,387.18,No
30,78434.3,10,19.83,9,2,21.7,Desktop,Basic,Home,West,468.64,No
55,67114.97,19,8.82,8,21,20.7,Mobile,Silver,Home,West,442.12,No
30,77673.07,15,13.58,8,31,18.7,Desktop,Basic,Electronics,South,563.56,Yes
52,112922.28,20,17.38,7,33,17.5,Desktop,Basic,Home,East,512.82,No
55,115693.57,19,2.09,8,24,17.9,Mobile,Gold,Home,South,467.2,No
39,71526.38,15,19.17,11,36,11.7,Mobile,Basic,Home,West,610.64,Yes
53,73524.19,17,8.09,9,24,37.6,Mobile,Silver,Electronics,North,450.15,Yes
31,93677.28,13,15.66,6,15,30.4,Tablet,Silver,Beauty,North,407.77,Yes
21,51395.46,16,15.23,8,18,29.5,Desktop,Basic,Electronics,South,439.9,No
22,77327.55,18,19.42,6,28,8.5,Mobile,Silver,Home,North,494.7,No
39,69431.02,14,16.75,13,36,43.8,Mobile,Silver,Fashion,East,536.2,Yes
61,76905.98,9,2.11,5,9,46.7,Mobile,Gold,Fashion,East,209.16,No
24,51665.89,13,10.08,7,12,85.2,Tablet,Basic,Beauty,West,261.09,No
39,35029.52,17,14.69,3,26,45.0,Mobile,Platinum,Electronics,East,401.93,No
51,24394.36,12,13.03,8,31,96.1,Mobile,Gold,Sports,East,305.51,No
27,45417.55,17,16.39,7,16,20.0,Tablet,Silver,Sports,East,466.69,No
52,59909.14,14,17.95,7,26,88.1,Mobile,Basic,Fashion,North,345.07,No
32,63549.79,12,17.04,13,0,46.0,Mobile,Gold,Fashion,East,619.87,Yes
56,112619.09,17,12.93,7,11,42.2,Mobile,Gold,Electronics,North,589.9,Yes
45,94331.85,11,4.77,12,39,29.0,Desktop,Basic,Sports,East,411.8,No
44,48834.0,13,11.72,7,23,24.8,Mobile,Platinum,Home,West,464.73,Yes
26,77649.59,9,16.08,9,35,21.1,Tablet,Platinum,Electronics,West,674.8,Yes
40,61044.28,12,8.55,6,8,90.0,Mobile,Silver,Home,East,212.35,No
59,63744.0,13,17.16,3,11,28.4,Mobile,Gold,Electronics,South,346.16,No
18,74077.16,8,18.54,6,39,46.6,Desktop,Silver,Home,West,364.59,No
54,83621.76,11,14.63,8,40,53.4,Desktop,Gold,Home,West,468.02,Yes
41,62536.31,20,2.0,9,35,52.9,Desktop,Gold,Electronics,South,496.57,Yes
52,93404.73,7,7.61,5,13,37.8,Desktop,Basic,Beauty,North,271.25,No
49,44877.36,12,23.43,4,32,87.0,Mobile,Basic,Fashion,East,314.65,No
38,70139.46,11,11.27,11,18,44.2,Desktop,Basic,Home,East,402.01,No
32,127148.82,17,4.08,12,34,20.7,Mobile,Platinum,Home,West,741.32,Yes
48,74907.75,9,20.18,4,34,25.6,Mobile,Basic,Sports,West,314.98,No
24,101530.72,19,14.07,10,17,9.0,Tablet,Gold,Fashion,North,594.4,Yes
46,72013.44,12,19.52,7,12,40.6,Desktop,Silver,Sports,South,539.87,No
22,82777.1,11,15.38,9,39,49.2,Mobile,Basic,Fashion,West,396.87,No
49,68750.77,20,16.29,6,18,52.0,Mobile,Platinum,Beauty,South,533.67,Yes
48,66251.03,16,15.82,5,17,46.0,Tablet,Silver,Electronics,South,395.38,No
22,52851.39,13,17.49,10,27,29.1,Mobile,Basic,Beauty,South,460.93,No
54,79466.63,13,25.39,10,38,33.1,Mobile,Basic,Electronics,South,677.34,Yes
37,51266.18,12,18.86,2,5,33.1,Mobile,Basic,Sports,East,323.54,No
55,84642.88,12,6.1,10,40,62.4,Mobile,Basic,Sports,South,419.43,No
19,93876.31,7,16.23,5,17,6.0,Mobile,Basic,Fashion,South,418.26,No
26,78063.69,14,19.71,8,1,23.6,Tablet,Silver,Home,South,522.73,No
41,63702.53,9,20.01,9,12,14.9,Mobile,Basic,Home,North,396.45,No
27,79987.24,5,11.87,6,18,109.4,Mobile,Basic,Fashion,West,244.79,No
33,63209.19,6,19.82,11,27,70.4,Desktop,Basic,Home,West,580.03,Yes
49,90582.04,13,18.64,6,23,24.3,Mobile,Basic,Home,South,455.51,Yes
24,29709.07,10,26.86,6,5,10.7,Desktop,Platinum,Home,North,662.47,Yes
50,62616.64,14,10.25,8,20,13.4,Desktop,Basic,Electronics,East,458.57,No
22,26202.14,20,11.46,5,9,61.9,Desktop,Basic,Sports,East,180.27,No
26,37108.66,7,12.47,8,11,8.7,Desktop,Silver,Electronics,East,382.16,No
46,100004.97,12,11.55,10,29,33.4,Desktop,Platinum,Home,East,541.18,Yes
56,89694.07,13,9.55,10,32,55.5,Desktop,Gold,Electronics,East,600.52,Yes
26,54171.43,11,2.0,10,6,12.3,Desktop,Gold,Electronics,North,453.86,No
32,36944.92,15,11.83,8,24,33.2,Mobile,Platinum,Electronics,North,569.79,Yes
62,18000.0,10,15.85,11,17,24.6,Desktop,Silver,Fashion,North,475.55,No
65,58043.1,9,11.53,10,13,22.3,Desktop,Platinum,Home,North,549.07,Yes
45,123249.13,13,23.68,7,29,19.5,Mobile,Basic,Home,West,627.04,Yes
39,79567.45,13,14.07,13,10,58.5,Desktop,Gold,Home,East,616.31,Yes
34,57689.41,13,20.46,7,31,80.0,Mobile,Gold,Home,East,437.63,No
47,80231.76,10,15.31,3,16,27.5,Mobile,Platinum,Electronics,East,567.48,Yes
46,35658.92,13,18.13,4,3,42.4,Desktop,Silver,Electronics,North,385.32,No
32,63458.89,13,15.4,10,32,33.7,Mobile,Gold,Home,North,561.07,Yes
19,72188.5,16,20.84,6,34,6.8,Mobile,Basic,Home,West,494.66,No
25,68105.79,14,14.28,9,23,26.7,Mobile,Silver,Home,South,468.85,No
64,87397.73,14,16.48,8,29,5.6,Desktop,Basic,Fashion,East,460.33,No
38,77582.19,15,15.83,7,6,23.1,Mobile,Silver,Beauty,West,428.2,No
41,84703.17,22,12.56,11,13,32.5,Desktop,Silver,Electronics,North,662.03,Yes
40,54855.81,12,16.02,2,14,52.7,Desktop,Basic,Home,West,303.11,No
55,89751.94,13,25.17,8,31,39.8,Desktop,Basic,Electronics,East,623.53,Yes
21,105836.61,13,12.65,8,14,59.5,Tablet,Basic,Home,South,424.26,No
21,48656.71,16,16.1,8,29,17.1,Desktop,Silver,Fashion,South,433.3,No
31,50470.7,9,20.29,7,12,73.7,Mobile,Silver,Beauty,North,347.75,No
41,99387.26,10,19.7,9,24,80.0,Tablet,Gold,Electronics,North,701.27,Yes
50,65790.43,21,14.06,7,8,5.3,Mobile,Basic,Home,North,384.59,No
41,100884.07,9,2.08,15,22,8.3,Mobile,Gold,Electronics,West,710.53,Yes
39,60264.21,13,16.58,5,3,32.0,Mobile,Silver,Home,North,380.16,No
63,102011.0,16,2.9,10,30,21.8,Desktop,Basic,Electronics,South,504.66,No
25,72892.69,9,21.35,7,1,24.4,Mobile,Basic,Electronics,North,447.92,No
45,75681.03,13,14.85,9,40,39.6,Desktop,Silver,Beauty,South,464.45,No
44,104423.8,10,19.0,7,34,61.0,Mobile,Basic,Electronics,North,498.96,No
40,62041.05,8,9.49,9,23,16.4,Mobile,Basic,Electronics,South,426.23,No
56,49295.31,15,6.24,3,37,67.6,Mobile,Basic,Beauty,East,102.13,No
30,60131.59,13,15.3,9,33,19.3,Desktop,Basic,Beauty,West,468.35,Yes
63,79951.35,12,13.83,6,5,118.6,Mobile,Basic,Beauty,South,244.67,No
33,35553.3,10,11.54,3,30,74.0,Mobile,Basic,Fashion,East,171.43,No
44,84024.36,9,14.42,4,15,20.8,Mobile,Gold,Home,East,371.96,No
42,58147.03,12,27.84,7,35,10.9,Mobile,Silver,Beauty,West,650.85,Yes
58,95251.88,16,18.17,9,35,20.4,Desktop,Silver,Electronics,West,694.05,Yes
39,18000.0,10,19.25,3,39,18.3,Mobile,Silver,Beauty,North,286.59,No
31,52695.55,12,18.22,7,18,48.5,Mobile,Silver,Electronics,East,467.22,No
19,32897.7,12,21.4,4,7,5.4,Desktop,Basic,Sports,West,385.25,No
35,51822.95,13,13.05,4,5,8.4,Mobile,Basic,Home,South,261.18,No
57,75448.65,13,3.73,2,6,47.6,Mobile,Basic,Fashion,East,178.06,No
18,66057.01,13,13.06,9,40,17.7,Desktop,Silver,Fashion,South,450.84,No
61,64425.69,14,18.06,7,24,23.3,Desktop,Silver,Electronics,South,529.09,Yes
44,66497.93,17,9.15,5,14,55.3,Desktop,Basic,Fashion,North,271.45,No
24,74474.54,10,13.12,10,18,62.8,Mobile,Silver,Beauty,North,461.36,No
32,47812.21,11,10.54,13,7,71.7,Mobile,Platinum,Home,East,620.88,Yes
44,85550.69,10,21.51,8,23,52.4,Mobile,Basic,Home,West,539.98,Yes
33,84578.65,20,17.75,12,17,28.4,Mobile,Silver,Electronics,East,732.72,Yes
23,78470.83,14,17.26,5,32,26.7,Mobile,Silver,Home,North,458.87,No
49,82243.74,9,17.11,8,0,24.5,Tablet,Gold,Fashion,North,522.2,Yes
50,76521.2,12,13.81,6,38,12.4,Desktop,Gold,Electronics,East,482.34,No
23,114771.61,15,14.99,5,2,15.9,Mobile,Gold,Sports,North,543.89,No
31,68083.93,9,8.07,11,17,65.9,Mobile,Basic,Home,East,412.48,No
29,63244.17,17,3.07,6,13,19.1,Desktop,Silver,Home,West,356.18,No
49,53422.39,10,14.75,15,29,12.4,Mobile,Gold,Sports,North,682.18,Yes
53,47290.22,12,15.62,10,26,69.4,Mobile,Basic,Fashion,East,396.14,No
52,42621.62,12,20.05,10,8,38.0,Mobile,Platinum,Sports,West,581.9,Yes
63,50446.46,10,21.86,7,20,91.2,Desktop,Basic,Home,South,362.06,No
